distance,largest_cc,second_largest_cc,number_of_stores,regions,n_regions,second_region,first_region,ratio
11062.1952,189,31,254,"{'Hovedstaden': 180, 'Sjælland': 9}",2.0,9.0,180.0,0.047619047619047616
11139.858400000001,191,31,256,"{'Hovedstaden': 181, 'Sjælland': 10}",2.0,10.0,181.0,0.05235602094240838
11217.5216,192,31,257,"{'Hovedstaden': 181, 'Sjælland': 11}",2.0,11.0,181.0,0.057291666666666664
11295.1848,193,31,258,"{'Hovedstaden': 182, 'Sjælland': 11}",2.0,11.0,182.0,0.05699481865284974
11372.848,193,32,259,"{'Hovedstaden': 182, 'Sjælland': 11}",2.0,11.0,182.0,0.05699481865284974
11450.5112,194,32,260,"{'Hovedstaden': 183, 'Sjælland': 11}",2.0,11.0,183.0,0.05670103092783505
11528.1744,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
11605.8376,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
11683.5008,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
11761.164,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
11838.8272,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
11916.4904,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
11994.1536,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
12071.8168,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
12149.480000000001,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
12227.1432,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
12304.806400000001,195,33,262,"{'Hovedstaden': 184, 'Sjælland': 11}",2.0,11.0,184.0,0.05641025641025641
12382.4696,196,33,263,"{'Hovedstaden': 185, 'Sjælland': 11}",2.0,11.0,185.0,0.05612244897959184
12460.132800000001,196,33,263,"{'Hovedstaden': 185, 'Sjælland': 11}",2.0,11.0,185.0,0.05612244897959184
12537.796,197,33,264,"{'Hovedstaden': 185, 'Sjælland': 12}",2.0,12.0,185.0,0.06091370558375635
12615.459200000001,200,33,267,"{'Hovedstaden': 187, 'Sjælland': 13}",2.0,13.0,187.0,0.065
12693.1224,200,33,267,"{'Hovedstaden': 187, 'Sjælland': 13}",2.0,13.0,187.0,0.065
12770.785600000001,201,33,268,"{'Hovedstaden': 188, 'Sjælland': 13}",2.0,13.0,188.0,0.06467661691542288
12848.4488,202,33,269,"{'Hovedstaden': 189, 'Sjælland': 13}",2.0,13.0,189.0,0.06435643564356436
12926.112000000001,202,33,269,"{'Hovedstaden': 189, 'Sjælland': 13}",2.0,13.0,189.0,0.06435643564356436
13003.7752,202,33,269,"{'Hovedstaden': 189, 'Sjælland': 13}",2.0,13.0,189.0,0.06435643564356436
13081.438400000001,202,33,270,"{'Hovedstaden': 189, 'Sjælland': 13}",2.0,13.0,189.0,0.06435643564356436
13159.1016,204,33,273,"{'Hovedstaden': 190, 'Sjælland': 14}",2.0,14.0,190.0,0.06862745098039216
13236.7648,204,33,273,"{'Hovedstaden': 190, 'Sjælland': 14}",2.0,14.0,190.0,0.06862745098039216
13314.428,205,33,274,"{'Hovedstaden': 191, 'Sjælland': 14}",2.0,14.0,191.0,0.06829268292682927
13392.0912,206,33,275,"{'Hovedstaden': 192, 'Sjælland': 14}",2.0,14.0,192.0,0.06796116504854369
13469.7544,207,34,277,"{'Hovedstaden': 192, 'Sjælland': 15}",2.0,15.0,192.0,0.07246376811594203
13547.4176,207,34,277,"{'Hovedstaden': 192, 'Sjælland': 15}",2.0,15.0,192.0,0.07246376811594203
13625.0808,208,34,278,"{'Hovedstaden': 193, 'Sjælland': 15}",2.0,15.0,193.0,0.07211538461538461
13702.744,208,34,278,"{'Hovedstaden': 193, 'Sjælland': 15}",2.0,15.0,193.0,0.07211538461538461
13780.407200000001,209,34,279,"{'Hovedstaden': 193, 'Sjælland': 16}",2.0,16.0,193.0,0.07655502392344497
13858.0704,209,34,279,"{'Hovedstaden': 193, 'Sjælland': 16}",2.0,16.0,193.0,0.07655502392344497
13935.733600000001,211,34,281,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14013.3968,211,34,281,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14091.060000000001,211,34,281,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14168.7232,211,34,281,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14246.386400000001,211,34,281,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14324.0496,211,34,282,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14401.712800000001,211,34,282,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14479.376,211,34,284,"{'Hovedstaden': 195, 'Sjælland': 16}",2.0,16.0,195.0,0.07582938388625593
14557.039200000001,212,34,285,"{'Hovedstaden': 196, 'Sjælland': 16}",2.0,16.0,196.0,0.07547169811320754
14634.7024,212,35,286,"{'Hovedstaden': 196, 'Sjælland': 16}",2.0,16.0,196.0,0.07547169811320754
14712.365600000001,214,35,288,"{'Hovedstaden': 196, 'Sjælland': 18}",2.0,18.0,196.0,0.08411214953271028
14790.0288,215,35,289,"{'Hovedstaden': 196, 'Sjælland': 19}",2.0,19.0,196.0,0.08837209302325581
14867.692000000001,215,35,289,"{'Hovedstaden': 196, 'Sjælland': 19}",2.0,19.0,196.0,0.08837209302325581
14945.3552,216,35,290,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
15023.0184,216,36,291,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
15100.6816,216,36,292,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
15178.3448,216,36,292,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
15256.008,216,36,293,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
15333.6712,216,36,293,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
15411.3344,216,36,293,"{'Hovedstaden': 196, 'Sjælland': 20}",2.0,20.0,196.0,0.09259259259259259
