store_name,region,cluster,cluster_bool,urban_rural,entropy
b8cdfc64-d8bf-4794-b1d6-ea12236eea06,Syddanmark,2,In-Cluster Store,Urban,0.8090585175848595
8e0f56a3-b8a8-435f-bb52-dc9c99211425,Syddanmark,-1,Isolated Store,Rural,0.7744517756218369
da2957d5-67ec-4f24-9c49-235b6712e063,Midtjylland,1,In-Cluster Store,Urban,0.8223272763286428
93a6ac26-1f73-49d1-9b22-89a72b340820,Midtjylland,-1,Isolated Store,Rural,0.7962524027058611
8f2b27ec-8456-402c-bea5-d54a5e5c2033,Syddanmark,-1,Isolated Store,Urban,0.8125043554046665
1f0fff4b-2066-42ff-bb96-1fa084f37a73,Nordjylland,-1,Isolated Store,Rural,0.8259920002283675
582feac6-f66a-4fb0-8e83-3fd73c750576,Syddanmark,-1,Isolated Store,Urban,0.7690029652622383
4af97779-68b8-494b-97ac-20ade963a702,Midtjylland,1,In-Cluster Store,Urban,0.820215099268136
2da2b92a-25c8-48cf-a4a1-7c56b4469a02,Nordjylland,0,In-Cluster Store,Urban,0.8031257694547288
ace63c71-2fb5-4327-824e-9fbf57f3aa56,Syddanmark,-1,Isolated Store,Urban,0.7731363011306476
655ea375-e01d-45e4-8344-73d3c670cad9,Syddanmark,2,In-Cluster Store,Urban,0.7937455390127788
9810f2da-f4d3-4282-9e97-a723247aa828,Nordjylland,0,In-Cluster Store,Urban,0.8039495327891991
cc0a422b-fbad-4ca7-a78c-43a46bb0fe5b,Midtjylland,1,In-Cluster Store,Urban,0.8446307671742077
794c0820-9458-45e7-a16c-2b4dce40159e,Syddanmark,-1,Isolated Store,Rural,0.8205524055446933
90dca4a0-2fe2-4c8d-a78a-b208580e03eb,Midtjylland,1,In-Cluster Store,Urban,0.8331325245032672
dca50891-be2a-4211-a1c5-89ca84111e0f,Syddanmark,2,In-Cluster Store,Urban,0.8199581324291418
693666f6-6d9d-4ddd-ae26-9de84aadac57,Nordjylland,0,In-Cluster Store,Urban,0.7896192926073029
9be76475-723b-42f6-a469-eedcf7973199,Syddanmark,-1,Isolated Store,Urban,0.8396797040128652
71579711-6886-4784-acc8-85f3f1241f98,Midtjylland,1,In-Cluster Store,Urban,0.8059872219347715
9850d4e7-33ff-43a3-b9ed-9c95479e8570,Nordjylland,-1,Isolated Store,Urban,0.8235894126173626
a2ae41ba-f16d-45d6-a424-70b34c2ceb92,Syddanmark,-1,Isolated Store,Rural,0.8251680200426799
1fe45d71-61af-4173-80c1-59cae1a28825,Midtjylland,-1,Isolated Store,Rural,0.8384918648047357
448f9506-c0d6-4c43-a4d2-96f7ac9e39a6,Syddanmark,-1,Isolated Store,Urban,0.814543914806004
4edfa4fd-ccbb-44dd-a0f2-efcb5c609331,Nordjylland,0,In-Cluster Store,Urban,0.8149661398404972
8524b747-1c4d-4228-b358-403752d0573c,Syddanmark,2,In-Cluster Store,Rural,0.846367953690995
a1921fbe-f895-4f7e-874c-3f4673c29036,Syddanmark,2,In-Cluster Store,Rural,0.8090974380156373
f14ae3b5-9c98-4bf8-869a-1ec74a1d73a1,Midtjylland,1,In-Cluster Store,Urban,0.8288731869268134
efd13072-4685-4b33-a544-f702b64498b7,Midtjylland,-1,Isolated Store,Urban,0.8268014410839432
df02a15e-42b7-417f-af97-29fcba9a66bc,Midtjylland,1,In-Cluster Store,Urban,0.8507073189487973
3da7639a-8f73-4e41-ac5f-f5ebe5700adf,Syddanmark,1,In-Cluster Store,Urban,0.8397466222328456
5a5a3b85-1c8c-433e-a56c-23f6326306f7,Midtjylland,1,In-Cluster Store,Urban,0.8053505664118666
07631afc-e5b9-4561-a21f-1b72174aff50,Midtjylland,1,In-Cluster Store,Urban,0.8136937271139214
37e57566-70c1-4d2c-a2b0-ef15d3614b38,Syddanmark,-1,Isolated Store,Rural,0.852068000106677
3195edfc-e035-43e6-babf-df8419b85749,Midtjylland,1,In-Cluster Store,Urban,0.8436283817376998
a53f07db-90b0-4816-912a-2779cf29c811,Midtjylland,1,In-Cluster Store,Urban,0.8126530866620084
b42ed786-4021-44d7-ac26-df06e1d7ef37,Nordjylland,0,In-Cluster Store,Urban,0.7950968570485567
eca33645-5b1a-4730-9016-10d6f068e82f,Midtjylland,1,In-Cluster Store,Urban,0.8353972715235717
ef640999-4b98-4eb2-a18b-d5aedeecbaeb,Syddanmark,2,In-Cluster Store,Urban,0.8204792607952381
170b4f1a-a29c-4b07-a391-d7bb23062911,Midtjylland,-1,Isolated Store,Rural,0.8365899923328594
c280fbc4-2fab-4260-84f6-7fba1f2584a4,Midtjylland,-1,Isolated Store,Urban,0.8076159355692961
1c7a633b-05dd-40d4-90d7-4cb8deb37db7,Midtjylland,1,In-Cluster Store,Urban,0.8285505722705213
51d828b9-695c-44ed-bea4-c45a3cf839a8,Midtjylland,-1,Isolated Store,Rural,0.8370516384786103
eb9bffad-3651-4505-9507-71911fb17692,Syddanmark,-1,Isolated Store,Urban,0.8220473383750648
c8966c7d-4ba4-4123-909e-2339c2277be9,Syddanmark,2,In-Cluster Store,Urban,0.8156069491137394
6b20f451-d1ad-43ba-ab20-e75d6174ff0d,Syddanmark,2,In-Cluster Store,Urban,0.8294697489700937
85e8ba7d-7fb2-439c-ba03-d36505d212b5,Midtjylland,1,In-Cluster Store,Rural,0.8476240415501199
bd8e387e-625a-4e8f-bc71-ff3124eb0be7,Syddanmark,-1,Isolated Store,Rural,0.8437869801586443
e289d9b0-6e7a-4a54-a5c4-f0b306f9018a,Syddanmark,-1,Isolated Store,Rural,0.8395342742908157
a5cf1f31-f57c-439d-84c8-f232ff9a24fc,Syddanmark,2,In-Cluster Store,Rural,0.8101778309179545
ad097c83-299a-4699-bcfc-05b3a22a39eb,Syddanmark,-1,Isolated Store,Rural,0.820719239826679
bc87bb9c-3393-4b88-ae6a-70fee09b900d,Syddanmark,2,In-Cluster Store,Urban,0.8116790942637656
3d41657a-5e19-4cc4-9ab1-e783b07d2607,Midtjylland,1,In-Cluster Store,Urban,0.8325916272794023
43c0c172-437a-465f-8b17-c5adf3c2b93b,Nordjylland,0,In-Cluster Store,Urban,0.8018176922006772
dcd139fe-e427-4849-b2c6-aab21e502916,Nordjylland,0,In-Cluster Store,Urban,0.7915603431986117
357ed080-483f-4ed3-a175-8144e0067ef2,Syddanmark,2,In-Cluster Store,Urban,0.8174588386591144
f621a1a1-ee70-4559-9e8f-9dc7ea12be46,Midtjylland,-1,Isolated Store,Urban,0.8566971871733586
8acb7bbf-3154-404c-9580-b95c8ded3e03,Syddanmark,-1,Isolated Store,Urban,0.8031459240566018
ea055cf3-980d-4bb0-b579-90b3e7891754,Syddanmark,-1,Isolated Store,Rural,0.839223743787782
73c5514a-102f-4426-8ece-cbb42f9d1887,Syddanmark,1,In-Cluster Store,Urban,0.80059718192586
a7d29537-e706-485b-aba2-9bed374b8c87,Midtjylland,-1,Isolated Store,Rural,0.8109891772443725
